timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282860887,533,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,1,1,https://www.boredapi.com,533,0,384
1723282861428,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282861428,449,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,1,1,https://www.boredapi.com,449,0,300
1723282861877,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282861878,468,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,1,1,https://www.boredapi.com,468,0,309
1723282862346,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282862347,452,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,452,0,304
1723282862799,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282862800,452,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,452,0,302
1723282863252,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282863253,449,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,449,0,300
1723282863702,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282863702,453,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,1,1,https://www.boredapi.com,453,0,302
1723282864157,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282864157,470,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,1,1,https://www.boredapi.com,469,0,315
1723282864627,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282864627,458,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,458,0,304
1723282865086,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282865086,466,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,466,0,311
1723282865553,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282865553,453,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,452,0,301
1723282866013,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,1,1,https://www.boredapi.com,0,0,0
1723282866014,461,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,1,1,https://www.boredapi.com,461,0,307
